kohde,jasen,pvknro,sp,IKAL1,ASALUE,V1,V21,V22,V5,H1a_A,H1b_A
50645,1,2,2,4,3.0,0.0,0.0,0.0,40.0,1.0,1.0
50654,1,1,2,8,1.0,0.0,0.0,0.0,40.0,2.0,1.0
50654,1,2,2,8,1.0,0.0,0.0,0.0,60.0,2.0,1.0
50655,2,1,1,7,3.0,0.0,0.0,0.0,0.0,2.0,1.0
50655,2,2,1,7,3.0,0.0,0.0,0.0,70.0,2.0,1.0
50659,1,1,1,6,3.0,510.0,0.0,0.0,20.0,1.0,2.0
50659,1,2,1,6,3.0,0.0,0.0,0.0,10.0,1.0,2.0
50667,1,1,1,6,1.0,0.0,0.0,0.0,50.0,1.0,1.0
50667,1,2,1,6,1.0,410.0,0.0,0.0,10.0,1.0,1.0
50671,1,1,2,6,2.0,,,,,1.0,1.0
50671,1,2,2,6,2.0,,,,,1.0,1.0
50673,2,1,2,7,1.0,510.0,0.0,0.0,0.0,2.0,2.0
50673,2,2,2,7,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50683,2,1,1,5,2.0,570.0,0.0,0.0,40.0,2.0,2.0
50683,2,2,1,5,2.0,0.0,0.0,0.0,0.0,2.0,2.0
50693,1,1,1,3,2.0,180.0,0.0,0.0,0.0,2.0,2.0
50693,1,2,1,3,2.0,430.0,0.0,0.0,40.0,2.0,2.0
50697,1,1,2,6,1.0,330.0,0.0,0.0,140.0,2.0,2.0
50697,1,2,2,6,1.0,500.0,0.0,0.0,40.0,2.0,2.0
50726,2,1,2,7,1.0,0.0,0.0,0.0,40.0,,
50726,2,2,2,7,1.0,0.0,0.0,0.0,80.0,,
50731,1,1,2,7,2.0,,,,,,2.0
50731,1,2,2,7,2.0,,,,,2.0,2.0
50734,2,1,2,7,1.0,420.0,0.0,0.0,30.0,1.0,2.0
50734,2,2,2,7,1.0,0.0,0.0,0.0,60.0,1.0,2.0
50740,1,1,2,7,2.0,320.0,0.0,0.0,40.0,1.0,1.0
50740,1,2,2,7,2.0,140.0,0.0,0.0,70.0,1.0,1.0
50756,2,1,1,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50756,2,2,1,4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50763,2,1,2,8,1.0,0.0,0.0,0.0,20.0,2.0,2.0
50763,2,2,2,8,1.0,0.0,0.0,0.0,20.0,2.0,2.0
50764,1,1,2,4,1.0,460.0,0.0,0.0,30.0,1.0,1.0
50764,1,2,2,4,1.0,0.0,0.0,0.0,,1.0,1.0
50766,1,1,1,9,1.0,0.0,0.0,0.0,0.0,120.0,0.0
50766,1,2,1,9,1.0,0.0,0.0,0.0,0.0,120.0,180.0
50768,2,1,2,5,3.0,310.0,20.0,0.0,30.0,2.0,1.0
50768,2,2,2,5,3.0,0.0,60.0,10.0,140.0,2.0,1.0
